,LOC,Complexity,Dev_Experience,Module_Type,Dev_Mood,Commit_Message_Length,Buggy
818,298,22,5,API,4,77,0
819,215,34,5,UI,7,72,0
820,530,22,8,API,2,55,0
821,384,35,7,UI,2,28,0
822,591,42,9,Backend,6,18,0
823,155,36,8,UI,2,73,0
824,612,15,2,API,6,22,0
825,130,49,4,API,2,46,0
826,182,29,6,UI,4,61,0
827,187,37,2,Backend,7,87,0
828,233,42,7,Backend,8,16,0
829,450,45,3,API,3,86,1
830,379,12,3,UI,9,21,0
831,557,15,2,Backend,2,34,0
832,118,26,8,Backend,8,92,0
833,595,28,6,API,8,79,1
834,102,45,1,Backend,4,27,0
835,499,21,1,UI,1,85,0
836,254,16,7,API,1,5,1
837,175,36,8,API,2,83,0
838,796,19,5,UI,9,36,0
839,92,20,5,API,2,13,0
840,160,26,4,Backend,2,19,0
841,712,32,6,Backend,6,32,1
842,232,24,6,UI,7,28,0
843,144,37,3,Backend,7,64,0
844,423,14,9,UI,9,39,1
845,569,44,7,UI,6,90,1
846,409,36,1,Backend,8,31,1
847,745,37,7,UI,6,87,1
848,330,6,5,Backend,2,80,0
849,244,37,5,API,1,24,0
850,244,37,2,API,5,69,0
851,716,45,4,UI,9,89,1
852,142,17,6,Backend,8,53,0
853,721,34,7,Backend,4,5,1
854,110,37,5,API,5,14,0
855,683,17,9,API,5,51,0
856,100,30,3,Backend,6,63,0
857,452,26,1,UI,3,66,1
858,54,43,4,API,5,90,0
859,515,6,9,UI,2,22,0
860,653,42,4,UI,1,50,1
861,731,43,2,API,1,36,0
862,583,30,5,UI,7,31,1
863,454,19,3,UI,2,96,0
864,562,38,9,Backend,4,22,1
865,694,46,4,UI,5,43,1
866,282,48,6,Backend,7,53,0
867,573,44,2,API,2,97,1
868,395,15,6,API,6,86,0
869,95,7,3,Backend,1,48,0
870,595,10,9,API,7,76,0
871,127,13,2,UI,9,58,0
872,779,10,9,UI,5,99,0
873,122,13,5,UI,5,38,0
874,298,43,8,API,4,75,0
875,96,35,2,UI,3,40,0
876,170,36,6,API,9,22,0
877,263,45,3,UI,5,42,0
878,288,16,5,Backend,8,63,0
879,105,12,8,API,9,13,0
880,399,12,1,API,5,77,0
881,156,32,5,UI,9,76,0
882,97,24,3,API,2,55,0
883,622,11,4,API,9,39,0
884,386,15,2,Backend,4,86,0
885,75,24,9,Backend,6,9,0
886,306,20,3,UI,6,18,0
887,57,8,2,Backend,6,96,0
888,674,10,9,UI,2,34,0
889,302,26,7,UI,7,8,0
890,741,30,6,UI,6,43,1
891,768,7,1,API,1,88,0
892,352,45,5,Backend,2,68,1
893,688,46,3,UI,7,29,1
894,105,18,1,Backend,1,32,0
895,775,15,4,UI,1,80,0
896,575,22,2,Backend,1,70,0
897,523,16,2,Backend,8,82,0
898,77,27,3,UI,4,26,0
899,127,16,8,API,4,35,0
900,265,17,8,Backend,2,27,0
901,435,29,7,API,1,52,1
902,414,49,6,API,9,24,1
903,715,23,9,UI,7,42,0
904,575,40,4,UI,4,59,1
905,748,49,1,UI,6,72,1
906,361,12,8,Backend,2,83,0
907,56,33,7,UI,7,92,1
908,52,36,7,UI,2,93,0
909,672,48,3,Backend,8,5,1
910,799,22,4,Backend,8,11,0
911,412,10,9,UI,1,61,0
912,557,22,6,UI,8,99,0
913,323,23,5,UI,2,16,0
914,555,26,3,UI,6,9,1
915,788,41,9,API,1,54,1
916,64,36,5,API,5,46,0
917,241,45,5,UI,7,16,0
918,680,7,4,API,1,22,0
919,534,32,4,Backend,2,70,1
920,77,14,1,API,7,78,0
921,763,39,7,API,6,83,0
922,88,33,9,UI,3,98,0
923,322,19,3,API,2,21,0
924,280,37,2,API,4,72,0
925,135,11,3,API,3,75,0
926,523,16,1,API,7,66,0
927,175,34,6,Backend,8,45,1
928,586,25,7,UI,2,99,0
929,194,35,2,UI,7,38,0
930,574,28,8,Backend,8,74,1
931,261,24,6,API,6,49,0
932,74,41,4,Backend,6,62,0
933,629,8,5,API,1,55,0
934,443,32,8,Backend,4,38,1
935,116,48,3,UI,1,48,0
936,282,24,3,UI,4,19,0
937,158,28,4,UI,2,82,0
938,195,36,1,API,5,74,1
939,160,45,9,API,9,54,0
940,277,40,8,Backend,3,36,0
941,160,38,8,Backend,8,71,0
942,519,40,6,UI,3,7,1
943,83,6,7,API,6,90,1
944,672,19,6,Backend,4,90,0
945,418,38,9,API,8,78,1
946,797,40,3,API,6,55,1
947,644,10,3,UI,8,71,0
948,603,43,3,UI,1,80,1
949,474,46,3,API,6,97,1
950,662,16,9,API,1,52,0
951,567,7,4,API,1,21,0
952,741,49,7,API,8,11,1
953,331,22,9,UI,7,17,1
954,369,44,7,Backend,3,70,0
955,787,25,9,UI,6,8,0
956,492,19,3,Backend,9,14,0
957,364,37,4,API,7,92,0
958,790,39,8,Backend,3,21,1
959,426,30,6,UI,6,56,1
960,338,12,5,UI,4,10,1
961,486,40,4,API,3,87,1
962,711,34,8,UI,9,73,1
963,326,27,1,API,2,78,0
964,759,46,9,UI,1,13,1
965,631,48,1,UI,2,95,1
966,552,18,8,API,7,81,0
967,673,18,4,Backend,1,87,0
968,565,6,9,UI,6,25,0
969,399,41,5,Backend,7,28,0
970,495,9,3,UI,9,8,0
971,399,42,9,UI,8,28,0
972,656,49,9,UI,6,63,1
973,713,45,4,UI,3,7,1
974,186,18,4,Backend,8,72,0
975,292,43,8,Backend,7,44,0
976,592,29,2,UI,3,52,1
977,89,24,9,UI,9,58,0
978,278,6,6,Backend,2,39,1
979,597,43,9,API,3,99,1
980,272,10,8,API,2,60,0
981,55,21,7,Backend,1,93,0
982,371,29,1,UI,4,44,0
983,517,32,3,UI,5,81,1
984,781,6,2,API,6,72,0
985,124,39,5,API,5,50,0
986,53,41,5,Backend,1,82,0
987,695,9,5,API,3,17,1
988,167,5,4,Backend,1,31,0
989,655,44,5,API,5,10,1
990,553,16,3,API,5,21,0
991,623,40,1,API,6,40,1
992,490,49,5,UI,8,85,1
993,243,27,9,UI,1,6,0
994,764,35,9,UI,4,81,1
995,441,15,4,API,1,56,0
996,75,14,3,Backend,9,70,0
997,484,7,1,Backend,7,56,0
998,222,18,2,Backend,7,96,0
999,349,20,8,Backend,5,47,0
